credit_score,gender,age,tenure,balance,procredit_scoreducts_number,credit_card,active_member,estimated_salary,churn
619,1,42,2,0,1,1,1,101348.88,1
608,1,41,1,83807.86,1,0,1,112542.58,0
502,1,42,8,159660.8,3,1,0,113931.57,1
699,1,39,1,0,2,0,0,93826.63,0
850,1,43,2,125510.82,1,1,1,79084.1,0
645,0,44,8,113755.78,2,1,0,149756.71,1
822,0,50,7,0,2,1,1,10062.8,0
376,1,29,4,115046.74,4,1,0,119346.88,1
501,0,44,4,142051.07,2,0,1,74940.5,0
684,0,27,2,134603.88,1,1,1,71725.73,0
528,0,31,6,102016.72,2,0,0,80181.12,0
497,0,24,3,0,2,1,0,76390.01,0
476,1,34,10,0,2,1,0,26260.98,0
549,1,25,5,0,2,0,0,190857.79,0
635,1,35,7,0,2,1,1,65951.65,0
616,0,45,3,143129.41,2,0,1,64327.26,0
653,0,58,1,132602.88,1,1,0,5097.67,1
549,1,24,9,0,2,1,1,14406.41,0
587,0,45,6,0,1,0,0,158684.81,0
726,1,24,6,0,2,1,1,54724.03,0
732,0,41,8,0,2,1,1,170886.17,0
636,1,32,8,0,2,1,0,138555.46,0
510,1,38,4,0,1,1,0,118913.53,1
669,0,46,3,0,2,0,1,8487.75,0
846,1,38,5,0,1,1,1,187616.16,0
577,0,25,3,0,2,0,1,124508.29,0
756,0,36,2,136815.64,1,1,1,170041.95,0
571,0,44,9,0,2,0,0,38433.35,0
574,1,43,3,141349.43,1,1,1,100187.43,0
411,0,29,0,59697.17,2,1,1,53483.21,0
591,1,39,3,0,3,1,0,140469.38,1
533,0,36,7,85311.7,1,0,1,156731.91,0
553,0,41,9,110112.54,2,0,0,81898.81,0
520,1,42,6,0,2,1,1,34410.55,0
722,1,29,9,0,2,1,1,142033.07,0
475,1,45,0,134264.04,1,1,0,27822.99,1
490,0,31,3,145260.23,1,0,1,114066.77,0
804,0,33,7,76548.6,1,0,1,98453.45,0
850,0,36,7,0,1,1,1,40812.9,0
582,0,41,6,70349.48,2,0,1,178074.04,0
472,0,40,4,0,1,1,0,70154.22,0
465,1,51,8,122522.32,1,0,0,181297.65,1
556,1,61,2,117419.35,1,1,1,94153.83,0
834,1,49,2,131394.56,1,0,0,194365.76,1
660,1,61,5,155931.11,1,1,1,158338.39,0
776,1,32,4,109421.13,2,1,1,126517.46,0
829,1,27,9,112045.67,1,1,1,119708.21,1
637,1,39,9,137843.8,1,1,1,117622.8,1
550,0,38,2,103391.38,1,0,1,90878.13,0
776,1,37,2,103769.22,2,1,0,194099.12,0
698,0,44,10,116363.37,2,1,0,198059.16,0
585,0,36,5,146050.97,2,0,0,86424.57,0
788,1,33,5,0,2,0,0,116978.19,0
655,0,41,8,125561.97,1,0,0,164040.94,1
601,0,42,1,98495.72,1,1,0,40014.76,1
619,0,43,1,125211.92,1,1,1,113410.49,0
656,0,45,5,127864.4,1,1,0,87107.57,0
725,0,19,0,75888.2,1,0,0,45613.75,0
511,1,66,4,0,1,1,0,1643.11,1
614,0,51,4,40685.92,1,1,1,46775.28,0
742,0,35,5,136857,1,0,0,84509.57,0
687,1,27,9,152328.88,2,0,0,126494.82,0
555,0,33,1,56084.69,2,0,0,178798.13,0
684,0,56,8,78707.16,1,1,1,99398.36,0
603,0,26,4,109166.37,1,1,1,92840.67,0
751,1,36,6,169831.46,2,1,1,27758.36,0
581,1,34,1,101633.04,1,1,0,110431.51,0
735,0,43,10,123180.01,2,1,1,196673.28,0
661,1,35,5,150725.53,2,0,1,113656.85,0
675,1,21,8,98373.26,1,1,0,18203,0
738,0,58,2,133745.44,4,1,0,28373.86,1
813,0,29,6,0,1,1,0,33953.87,0
657,1,37,0,163607.18,1,0,1,44203.55,0
604,1,25,5,157780.84,2,1,1,58426.81,0
519,0,36,9,0,2,0,1,145562.4,0
735,1,21,1,178718.19,2,1,0,22388,0
664,0,55,8,0,2,1,1,139161.64,0
678,1,32,9,0,1,1,1,148210.64,0
757,0,33,5,77253.22,1,0,1,194239.63,0
416,1,41,10,122189.66,2,1,0,98301.61,0
665,1,34,1,96645.54,2,0,0,171413.66,0
777,1,32,2,0,1,1,0,136458.19,1
543,1,36,3,0,2,0,0,26019.59,0
506,1,34,4,90307.62,1,1,1,159235.29,0
493,1,46,4,0,2,1,0,1907.66,0
652,1,75,10,0,2,1,1,114675.75,0
750,0,22,3,121681.82,1,1,0,128643.35,1
729,0,30,9,0,2,1,0,151869.35,0
646,1,46,4,0,3,1,0,93251.42,1
635,1,28,3,81623.67,2,1,1,156791.36,0
647,1,44,5,0,3,1,1,174205.22,1
808,0,45,7,118626.55,2,1,0,147132.46,0
524,1,36,10,0,2,1,0,109614.57,0
769,0,29,8,0,2,1,1,172290.61,0
730,0,42,4,0,2,0,1,85982.47,0
515,0,35,10,176273.95,1,0,1,121277.78,0
773,0,41,9,102827.44,1,0,1,64595.25,0
814,0,29,8,97086.4,2,1,1,197276.13,0
710,0,22,8,0,2,0,0,99645.04,0
413,0,34,9,0,2,0,0,6534.18,0
665,1,40,6,0,1,1,1,161848.03,0
623,1,44,6,0,2,0,0,167162.43,0
738,0,31,9,82674.15,1,1,0,41970.72,0
528,0,36,7,0,2,1,0,60536.56,0
670,1,65,1,0,1,1,1,177655.68,1
622,1,46,4,107073.27,2,1,1,30984.59,1
582,0,32,1,88938.62,1,1,1,10054.53,0
785,1,36,2,99806.85,1,0,1,36976.52,0
605,0,33,5,150092.8,1,0,0,71862.79,0
479,0,35,9,92833.89,1,1,0,99449.86,1
685,0,30,3,90536.81,1,0,1,63082.88,0
538,0,39,7,108055.1,2,1,0,27231.26,0
562,0,42,2,100238.35,1,0,0,86797.41,0
675,0,36,9,106190.55,1,0,1,22994.32,0
721,0,28,9,154475.54,2,0,1,101300.94,1
628,1,30,9,132351.29,2,1,1,74169.13,0
668,1,37,6,167864.4,1,1,0,115638.29,0
506,1,41,1,0,2,1,0,31766.3,0
524,1,31,8,107818.63,1,1,0,199725.39,1
699,0,34,4,185173.81,2,1,0,120834.48,0
828,0,34,8,129433.34,2,0,0,38131.77,0
674,0,39,6,120193.42,1,0,0,100130.95,0
656,1,39,6,0,2,1,0,141069.88,0
684,1,48,10,126384.42,1,1,1,198129.36,0
625,1,28,3,0,1,0,0,183646.41,0
432,0,42,9,152603.45,1,1,0,110265.24,1
549,1,52,1,0,1,0,1,8636.05,1
625,0,56,0,148507.24,1,1,0,46824.08,1
828,1,41,7,0,2,1,0,171378.77,0
770,0,24,9,101827.07,1,1,0,167256.35,0
758,1,34,3,0,2,1,1,124226.16,0
795,1,33,9,130862.43,1,1,1,114935.21,0
687,0,38,9,122570.87,1,1,1,35608.88,0
686,0,25,1,0,2,0,1,16459.37,0
789,0,39,7,124828.46,2,1,1,124411.08,0
589,1,50,5,144895.05,2,1,1,34941.23,0
